"bambara","french"
"A ka fɔ la musolaka dɔw ye saga naani, dɔw yɛrɛ saga duuru sɔrɔ cɛman fara musoman kan.","Selon lui, certaines femmes ont reçu quatre moutons, certaines en ont même reçu cinq, moutons et brebis."
"Binta Togo, ale kɔni bɛ ka bin di a ka sagajigi ma,","Binta Togo, elle, est en train de donner de l'herbe à son bélier."
"Nka a jigi bɛ bugunni kan ani seli sira, an ka ale lamɛn :","Elle espère l'engraisser et à l'emmener pour Tabaski, écoutons la :"
"Nin saga in, n ye a mara a bɛ kalo wɔɔrɔ bɔɲɔgɔn bɔ.","Ce bélier, ça fait environ six mois que je m'en occupe."
"Yan ni seliba cɛ, ne bɛ na waa bi duuru walima waa bi wɔɔrɔ de ɲini a na.","D'ici à Tabaski je pourrais en demander cinq mille ou six mille francs CFA."
"Musolaka caman kɔni y'a jira k'a fɔ ko ni dɛmɛ kɔni sinsinna baganmarako fanfɛ,","De nombreuses femmes ont en effet indiqué que si cette aide avait pour objet de soutenir les efforts d'élevage,"
"A bɛ kɛ sababu ye musow k'u bɛ se ka yiriwa cogo min na Koro mara la.","c'est cela qui permet aux femmes, disent-elles, de pouvoir prospérer comme ça dans la région de Koro."
"Tijani Wederawogo VOA tɔgɔ la, ka bɔ Koro.","Tidiane Ouédraogo, pour radio VOA, à Koro."
" Juman nɔrɔla farakolo la ","Comment Diouman est restée collée au rocher"
"“ Jalakɔro ” ye dugu ye, dugu dawulama.","Dialakoro est un village, un village renommé,"
"“ Jalakɔro ” ye dugu ye, dugu belebele.","Dialakoro est un village, un bien gros village."
"Kɔba dɔ tun bɛ Jalakɔrɔ dugu kɛɲɛka fɛ, min tɔgɔ ye “ Tufin Kɔba ”.","Une grande rivière se trouvait au nord de Dialakoro, dont le nom était « Rivière de l'acacia »."
"Tufin Kɔba jibɔyɔrɔ ma dɔn mɔgɔ fɛ hali bi.","La source de la « Rivière de l'acacia » n'est connue de personne même aujourd'hui."
"Kɔ in dugumana bɛɛ ye farakolo fɛɛnɛlen ye.","Tout le fond de cette rivière était un rocher plat."
"A dankan bɛɛ ye o farakolo kelen ye.","Toute sa berge est faite de cette même pierre."
"Tufin Kɔba badaa, tile m'a ji gosi sabu, a sanfɛla bɛɛ bililen don ni tu ye, k'a sɔrɔ ka lamini koori ni o tu kelen ye : donda kelen, bɔda kelen.","Jamais sur la rivière de l'acacia, le soleil ne frappe son eau parce que, au-dessus, elle est recouverte par les bois, et aussi elle encercle les alentours de ce même bois: l'entrée est comme la sortie."
"Jalakɔrɔ dugu kɔnɔ, jiri kɛnɛ tun tɛ tigɛ, tasuma tun tɛ don kungokolon la.","Dans le village de Dialakoro, on ne coupait pas les arbres sains, on n'allumait pas le feu en brousse."
"O de y'a to sanji tun bɛ na Jalakɔrɔ ka labɔli kɛ.","C'est la raison pour laquelle la pluie tombait à Dialakoro en quantité suffisante."
"Ɲɔw, tigaw, syɔw, kabaw, wosow ni malow tun bɛ ɲɛ fɔ ka damatɛmɛ.","Les récoltes de mil, arachides, haricots, maïs, patates douces et riz étaient excessivement abondantes."
"Jalakɔrɔkaw tun tɛ kɔngɔ ni faantanya dɔn.","Les gens de Dialakoro ne connaissaient ni la faim ni la misère."
"Jalakɔrɔ Tufin Kɔba in na yen, farakoloba dɔ tun bɛ ye, farakoloba cɛɲi, farakoloba dawulama, farakoloba nugumanba.","Là-bas près de la rivière de l'acacia de Dialakoro, il y avait un gros rocher, une bon gros rocher, un gros rocher renommée, un gros rocher très lisse."
"Jalakɔrɔka bɛɛ, hali denmisɛnnin fitininw, tun b'a dɔn ko mɔgɔ si man kan ka sigi o fara in kan, sabu o ye jinɛmuso Ɲagalen sigiyɔrɔ ye.","Tout le monde à Dialakoro, même les petits enfants, savait que personne ne devait s'asseoir sur ce rocher, parce que c'était là où s'asseyait la sorcière Nyagalen."
"Jinɛmuso Ɲagalen tun ye jinɛ ye, min bɛ Jalakɔrɔ kɔlɔsi.","Cette sorcière Nyagalen était le génie protecteur de Dialakoro."
"Ale de tun bɛ ji na, ka sɛnɛfɛnw ɲa.","C'était elle qui était dans l'eau qui faisait prospérer les cultures."
"A tɛnɛ tun ye ko saba ye : jiri tigɛ, tasuma don ani a ka fara kan sigili.","Ses trois interdits étaient : Couper les arbres, faire des feux de brousse, et s'asseoir sur le gros rocher."
"Dugu dumanba denmisɛnnin tan, o ye don dɔ tomo ye.","Aussi rempli d'enfants que soit un très beau village, un jour il tombera en ruines."
"Jalakɔrɔ tun falen don cɛmisɛn ni npogotigi la.","Mais à l'époque, Dialakoro était plein de jeunes garçons et jeunes filles."
"Su o su, kalojɛ la, u tun bɛ ɲɛnajɛ kɛ fɛrɛba la.","Tous les soirs, à la pleine lune, ils se rassemblaient sur la grande place publique."
"Wula o wula, u tun bɛ tugu ɲɔgɔn kɔ ka t'u ko Tufin Kɔba la.","Toutes les après-midi, ils retournaient ensemble à la rivière et allaient se baigner dans la rivière de l'acacia."
"Jinɛmuso Ɲagalen sigiyɔrɔ, mɔgɔ si tun tɛ se o ma.","Quand à l'emplacement réservé à la sorcière Nyagalen, personne n'y touchait."
"Don dɔ su fɛ, k'u to fɛrɛ la, Jumanjɛ ni o ye npogotigi sarama ye, o kamalen y'i kanto :","Un jour, le soir venu, pendant qu'ils étaient sur la place publique, le petit ami de la belle Diouman, la charmante jeune fille, lui demande :"
"“ - Juman, e bɛ ne fɛ kosɛbɛ wa ?","- Juman, est-ce que tu m'aimes vraiment ?"
"o ye kuma kura ye bi dɛ, n teri Fasiga, Jumanjɛ kan y'o ye.","- En voilà une question nouvelle aujourd'hui, mon ami Fasiga, ainsi parla la belle Diouman."
"kuma kura tɛ.","- Non ce n'est pas une question idiote."
"Bi ma ne ni e bila ɲɔgɔn bolo.","Ce n'est pas d'aujourd'hui que toi et moi nous sommes abandonnés l'un à l'autre."
"Ni ne ko ka di e ye tu ɲɛna la, sini wula fɛ, n'an taara Tufin Kɔba la, i k'i sigi Ɲagalen ka faraba kan.","Si je te plais,  devant les bois, demain soir, quand nous irons à la rivière de l'acacia, il faudra t'asseoir sur le gros rocher de Nyagalen."
"ɛɛ, n terinin, n'o kɛra, o tɛ Jalakɔrɔ ma hɛra ye dɛ !","- Eh ! Mon petit ami, si cela arrive, ça ne sera vraiment plus du tout la paix à Dialakoro !"
"hali n'o kɛra Jalakɔrɔ ma balawu ye, o bɛ kɛ ne ma nisɔndiyaba ye.","- Même si cela tourne à la catastrophe pour Dialakoro, cela sera pour moi une grande joie."
"O la, ne bɛ n waso cɛmisɛnnin tɔw la ko n terimuso sigira jinɛmuso Ɲagalen sigiyɔrɔ la.","Comme ça, je me vanterai auprès des autres garçons en disant que mon amie s'est assise à l'endroit réservé à la sorcière Nyagalen."
"ɔnhɔn !","- D'accord !"
"N'i ko ten, n bɛ o kɛ !","Si c'est ce que tu veux, je le ferai !"
"Su kora, dugu jɛra.","Le soir tomba, le jour se leva."
"Dugu jɛra, wula sera.","Le jour se leva, le soir arriva."
"Wula sera, Tufin Kɔba la tagali sera.","Le soir arrivé, arriva le moment d'aller à la rivière de l'acacia."
"Dugu cɛmisɛnw ni npogotigiw ye ɲɔgɔn nɔ minɛ, ka kɔ sɛgɛrɛ.","Les garçons et les filles du village prirent le même chemin pour rejoindre la rivière."
"U sera tuma min na, u y'u waraka ka jigin kɔ la.","Dès qu'ils furent arrivés, ils se déshabillèrent et descendirent dans la rivière."
"Sɔɔni, Jumanjɛ tagara Ɲagalen ka fara fan fɛ, k'i sigi o kan tɛku.","Bientôt, la belle Diouma se dirigea vers le rocher de Nyagalen, et s'assit dessus délicatement."
"Jama wɔyɔra ka dɔn ɲɔgɔn na.","La foule des enfants poussait des cris, ils dansaient ensemble."
"O yɔrɔnin kelen, Tufin Kɔba ji yɛlɛmana ka kɛ iko joli kɛnɛ.","Aussitôt, l'eau de la rivière de l'acacia se transforma, on aurait dit du sang frais."
"Cɛmisɛnw ni npogotigiw bolila ka taga so.","Les garçons et les filles s'enfuirent pour rentrer à la maison."
"Jumanjɛ ma se ka wuli, a nɔrɔlen tora farakolo la.","La belle Diouman ne put se lever, elle resta collée au rocher."
"Jumanjɛ sigilen tora, a bɛ ka kasi.","La belle Diouman resta là assise, elle se mit à pleurer."
"A y'i to ka kunkanba dɔ mɛn a kɔ fɛ.","Elle entendit un grand bruit derrière elle."
"Yeelenba bɔra tu la, k'o fili a kan.","Une grande lumière sortit du bois, et fondit sur elle."
"Yeelen tigɛra tuma min na, o kɔ kɛra burangosidibi ye.","Tout d'un coup la lumière s'éteignit, la rivière fut alors plongée dans une obscurité épaisse."
"Jumanjɛ siranna, a bɛ yɛrɛyɛrɛ iko jiri fura bɛ sanfiɲɛ bolo.","La belle Diouman prit peur, elle tremblait tant qu'on aurait dit une feuille d'arbre dans une bourrasque."
"A ɲɛkili gannen tora iko jakumawara taw.","Se yeux sortaient de leurs orbites comme ceux d'un chat sauvage."
"A sɔnkun bɛ ka pan-pan iko kolonkala kan.","Son cœur se mit à battre, on aurait dit le bruit du pilon dans le mortier."
"Kɔrɔfɔ in sera dugu cɛkɔrɔbaw tulo na tuma min na, olu ye sagajigi wɛlɛwɛlɛ minɛ, ka taga Tufin Kɔba daga na.","Dès que cette réprimande parvint aux oreilles des vieux du village, ceux-ci prirent un bélier d'un blanc immaculé et partirent au campement de la rivière de l'acacia."
"Cɛkɔrɔba kelen ye sagajigi minɛ k'i kanto :","L'un des vieux prit le bélier et déclara :"
"“ jinɛmuso Ɲagalen, e ka minɛ, o ye anw ka minɛ ye.","« Sorcière Nyagalen, celle qui est ta proie, c'est notre proie."
"E ka bila, o ye anw ka bila ye.","Celle qui est à ta disposition, elle est à notre disposition."
"Den bɛ bin a tabaga bolo.","L'enfant tombe entre les mains de celui qui la prend."
"Daga da jɛngɛnna, nk'a kɔnɔfɛn ma bɔn.","Le bord de la marmite a été abaissé, mais son contenu ne s'est pas répandu."
"Anw donna e gasi la.","Nous t'avons offensée."
"I tɛka min kɛ fɔlɔ, i kana o kɛ tugun.","Ce que tu n'aurais pas encore dû faire, ne le fait plus."
"I mana kɛ ka min kɛ, i bolo segin i kɔ.","Ce que tu auras déjà fait, défais-le de tes mains."
"I sɔnsagajigi filɛ.","Voilà ton offrande, un bélier. »"
"Cɛkɔrɔba y'o fɔ ka sagajigi bila yɔrɔ min na, sagajigi tagamana ka don ji la, ka tunun tugu-tege.","À peine le vieux avait-il parlé et offert le bélier, que le bélier entra dans l'eau et se noya en faisant exprès de trébucher."
"Kabini o kɛra, ji jɛyara a nɔ kɔrɔ la.","Depuis, l'eau est redevenue limpide dans son ancien lit."
"Jumanjɛ wulila k'a jɔ, kumakanba bɔra tu ɲɛkɔnɔ fɛ [ ko ] :","La belle Diouman se dressa sur ses pieds, une voix très forte sortit du fond du bois :"
"“ - ne yafara aw ma.","« Je vous pardonne"
"Jumanjɛ nɔ tɛ.","Ce n'est pas la faute de la belle Diouman."
"A terikɛ nɔ don. ”","C'est la faute de son ami. »"
"Teriya ye kɔrɔlen ye.","L'amitié est inestimable."
"Ni i teri ye sira jugu don i kɔrɔ don o don, a' ye teriya dabila o don.","Si tu vois tous les jours ton ami te faire prendre une mauvaise route, abandonne cette amitié tout de suite."
"Bamananw ko : “ ko kɔrɔbɔla, o si tɛ bɛrɛ ye. ”","Comme disent les bambaras : « Des gens qui mettent les coutumes à l'épreuve, il n'y en a pas beaucoup »."
"Jigi, kɔrɔkɛ t'i fɛ wa ?","Jigi, n’as-tu pas un grand frère ?"
"Ɔwɔ, Paul, kɔrɔkɛ kelen bɛ n fɛ.","Si, Paul, j'ai un grand frère."
"A bɛ Falajɛ yan ?","Est-il ici à Falaje ?"
"Ayi, a ni a muso n'a denw bɛ Abijan.","Non, lui, sa femme et ses enfants sont à Abidjan."
"A bɛ mun na ?","Que fait-il ?"
"A bɛ jago kɛ.","Il fait du commerce."
"Jula don.","C’est un commerçant."
"A bɛ wari sɔrɔ wa ?","Gagne-t-il de l’argent ?"
"A bɛ wari sɔrɔ dɛ !","Il gagne beaucoup d’argent !"
"Wari b'a bolo ?","A-t-il de l’argent ?"
"Ɔwɔ, wari b'a fɛ.","Oui, il a de l’argent."
"O tuma, se b'a ye !","Alors, il a des moyens !"
"Se b'a ye dɛ !","Il a de gros moyens !"
"A kunna ka di !","Il a de la chance !"
"A kunna ka di !","Il a de la chance !"
"A tɛ taa morikɛ bara ?","Ne va-t-il pas chez le marabout ?"
"A bɛ taa morikɛ bara kosɛbɛ.","Il va beaucoup chez le marabout."
"A tɛ wari ci aw ma ?","Ne vous envoie-t-il pas de l’argent ?"
"Tiɲɛ ka di Ala ye !","Dieu aime la vérité."
"A bɛ wari ci an ma !","Il nous envoie de l’argent !"
"Foli b'a ye.","Il est à remercier."
"Foli b'a ye dɛ !","Vraiment, il est à remercier !"
"A tɛ na bɔ aw ye ?","Ne vient-il pas vous rendre visite ?"
"Ɔwɔ, a bɛ na bɔ an ye.","Si, il vient nous rendre visite."
"Dɔgɔw b'i fɛ wa ?","As-tu des petits frères ou sœurs ?"
"Dɔgɔmuso kelen bɛ n fɛ.","Je n’ai qu’une petite sœur."
"A bɛ min ?","Où est-elle ?"
"A bɛ a cɛ kun Bamakɔ.","Elle est chez son mari à Bamako."
"Wari t'a bolo wa ?","N’a-t-il pas d’argent ?"
"Hali dɔrɔmɛ kelen t'a kun !","Il n’a même pas 5 francs sur lui !"
"O ye baara ye !","C’est grave !"
"Baara don dɛ !","C’est très grave !"
"Ala k'u dɛmɛ !","Que Dieu les aide !"
"Amiina","Amen!"
"Maria, i bɔra min ?","Maria, d’où viens-tu ?"
"Paul, ne bɔra sugu la.","Paul, je viens du marché."
"Bi ye sugudon ye wa ?","Aujourd’hui, est-ce le jour du marché ?"
"Ɔwɔ, bi ye sugudon ye.","Oui, aujourd’hui, c’est le jour du marché."
"I hakili ma to o la ?","Est-ce que tu ne te rappelles pas cela ?"
"Ayi, ne hakili ma to o la, a tun bɔra n kɔnɔ.","Non, je ne me suis pas rappelé cela, je l’avais oublié."
"Dɔgɔ tɛ jɔ Falajɛ don o don ?","Est-ce que le marché n’a pas lieu à Falaje tous les jours ?"
"Ayi, dɔgɔ tɛ jɔ Falajɛ don o don, a bɛ jɔ alamisa o alamisa.","Non, le marché n’a pas lieu à Falaje tous les jours, il a lieu tous les jeudis."
"Tiɲɛ don.","C’est vrai."
"Karamɔgɔ tun y'o fɔ !","Le maître l’avait dit !"
"A tun y'o fɔ dɛ !","Il l’avait bien dit!"
"I hakili man di !","Tu as une mauvaise mémoire !"
"Sugu diyara wa ?","Le marché a-t-il été bon ?"
"Ɔwɔ, a diyara kosɛbɛ !","Oui, il a été très bon !"
"I ye mun ni mun san ?","Qu’as-tu acheté ?"
"Ne ye sabara nin ani lenburuba ani furufuru san.","J’ai acheté ces chaussures, des oranges et des beignets."
"Fɛn caman bɛ sɔrɔ sugu la ?","Est-ce qu’on trouve beaucoup de choses au marché ?"
"Ɔwɔ, fɛn o fɛn ka di i ye, o bɛɛ bɛ sɔrɔ yen.","Oui, tout ce qu’on aime, on le trouve là-bas."
"I ye ne sama mun na ?","Qu’est-ce que tu m’as apporté comme cadeau ?"
"Ne y'i sama furufuru la.","Je t’ai apporté des beignets comme cadeau."
"O ka di ne da dɛ !","J’aime beaucoup cela !"
"E dun, i ye ne ɲɛsigi wa ?","Et toi, est-ce que tu as prévu un cadeau pour moi ?"
"O ma kɛ !","Non!"
"I tɛ maa ye !","Tu n’es pas un type !"
"Yafa ne ma !","Pardonne-moi !"
"Mɔgɔ o mɔgɔ bɛ taa sugu la, o bɛɛ bɛ sanni kɛ wa ?","Est-ce que tous ceux qui vont au marché font des achats ?"
"Ayi, mɔgɔ o mɔgɔ bɛ taa sugu la, o bɛɛ tɛ sanni kɛ.","Non, tous ceux qui vont au marché ne font pas des achats."
"Alamisa nata, ne fana na i sɔn.","Jeudi prochain, moi aussi je vais te faire un cadeau."
"Ala k'o kɛ an kɛnɛ ɲɛna !","Que Dieu le fasse, en nous trouvant en bonne santé !"
"Amiina !","Amen ! "
"Ala ka dugaw jaabi !","Que Dieu réponde aux bénédictions !"
"Amiina !","Amen!"
"Seerew ka fɔ la nin y'a dɔgɔkun wɔɔrɔ ɲɔgɔn de ye jatigɛ walekɛlaw daga sigilen don Jibo da la.","Selon des témoins cela fait environ six semaines qu'un camp de forces de la peur s'est installé aux portes de Djibo."
"O kɔ, nitɔɔrɔ walew de bɛ ka da sigidaladenw kan.","Il s'en est suivi toutes sortes de tourments infligés aux villageois."
"Kunnafoni sɔrɔlen b'a jira ko taji, balo ani fura fosi tɛ se ka don dugu in kɔnɔ.","Selon nos information, ni essence, ni nourriture ni médicament d'aucune sorte ne peuvent parvenir au village."
"Bawo, sira bɛɛ tigɛlen don marifatigiw fɛ.","En effet toutes les routes sont coupées par des hommes en armes."
"Wa Jibo sɔrɔsira min tun bɛ dugu in kɔnɔ, o fana tiɲɛnen.","Ainsi, les moyens de subsistance qui existaient à Djibo ont été détruits. "
"Wisa Badini Burukina Faso jamanadenw tɔgɔlatɔn ka fara ɲɔgɔn kan tɔn,","Wisa Badini, organisation de citoyens et d'entraide au Burkina Faso,"
"Weese ka kumalasela yɛrɛ fana tun ye nin kunnafoni dilen ninnu sɛmɛntiya,","et le porte-parole lui-même de Weese ont confirmé les informations qui nous avaient été  données"
"Feburuye kalo tile mugan ni wolonfila tɛmɛnen in Wagadugu,","le 27 février dernier à Ouagadougou,"
"Ka kɛɲɛ ni Burukina marabagaw ka makun ye ka ɲɛsin nin wale in ma.","alors que  les autorités de Burkina gardaient le silence sur ce qui se passait."
"Dugu sigidaladenw y'u ka nisɔngoya jira ni wulikajɔ ye kunun.","Les habitants du village ont exprimé leur mécontentement lors d'une manifestation hier."
"U ye welewelekan sama donnatɛmɛfanga in ɲɛmaa,","Ils ont lancé un appel au dirigeant du gouvernement transitoire,"
"Kapitɛni Ibrahima Tarawele ma,","le capitaine Ibrahim Traoré"
"K'a ka ko kɛ walasa ka dan sigi nin gɛlɛyaw la.","afin qu'il fasse quelque chose pour mettre un terme à ces difficultés."
"Wisa Badini y'a jira a ka dantigɛliw la","Wisa Badini a indiqué au cours de son intervention"
"Ko ni ba fila ɲɔgɔn de bɛ farati la nin waati la Djibo kɔngɔ ni minnɔgɔ kosɔn.","que deux mille âmes sont en danger en ce moment à Djibo à cause de la faim et de la soif"
"U jatew la, muso ni denmisɛnw de ka ca kosɛbɛ.","Selon leurs estimations, il y a beaucoup de femmes et d'enfants parmi elles."
"Banjugu Dante, i ni ɲɔgɔntuma","Bandiougou Danté, bonjour."
"Nba ! a ni ɲɔgɔntuma","Bonjour."
"Tile naani a tununnen kɔ, kunnafonidila Aliu Ture seginna a ka denbaya la.","Quatre jours après sa disparition, le journaliste Aliou Touré a retrouvé les siens."
"O kɔ, aw yɛrɛ ye kunnafonidikɛnɛ sigi ka aw ka nisɔndiya jira n'a ka nisɔngoya fana jira ka da a kan nin t'a siɲɛ fɔlɔ ye nin waleya sugu bɛ kɛ Mali la.","Vous avez alors organisé une conférence de presse pour exprimer votre satisfaction mais aussi votre mécontentement car ce n'est pas la première fois que ce genre de méfait est commis au Mali."
"Bi, aw yɛrɛ ka miirina ye mun ye nin ko bɛɛ lajɛlen kan ?","Aujourd'hui, quel est votre sentiment sur toute cette affaire ?"
"« bon, en réalité, euh », an bɛ jamana min kɔnɔ, waati minnu b'a kɔnɔna na, waati gɛlɛnmanw don.","Bon, en réalité, dans le pays où nous sommes et dans les temps que nous traversons, les choses sont difficiles."
"Jamanaden bɛɛ lajɛlen ka kan ka fara ɲɔgɔn kan walasa an bɛ se k'an ka jamana dɛmɛ cogo min na.","Tous les citoyens doivent s'unir afin d'arriver à sortir le pays de cette passe."
"Paseke « il ne faut pas que » mɔgɔ dɔ ka kɛ an kan, an yɛrɛdama fana an ka kɛ ɲɔgɔn kan.","Parce que il ne faut pas que l'on s'attaque à nous ni que nous attaquions les uns les autres entre-nous."
"Mali bɛ da, ɲɛ min na bi, a mago bɛ a den bɛɛ la.","Dans la situation dans laquelle se trouve le Mali aujourd'hui, tous ses citoyens ont ce même besoin."
"Kunnafonidilaw fana, u ka kan k'u jɔ u jɔyɔrɔ la.","Les journalistes aussi, il faut qu'ils tiennent leur rôle."
"I kɛra kunnafonidila ye, i kɛra jamaden fɛn o fɛn ye, bɛɛ lajɛlen dama ka kan sariya yɔrɔ.","Que vous soyez journaliste ou n'importe quel citoyen, tous sont égaux devant la loi."
"N'i ye fɛn min kɛ, n'a sɔrɔla k'i ye fɛn kɛ, k'a ma bɛn, a bɛ ɲɛnabɔ kiiritigiw de fɛ yen.","Quand quelqu'un a fait quelque chose, si on s'aperçoit qu'il a fait quelque chose de mal, c'est devant les juges que ça se règle."
"Mais an ye min ye, k'a ye k'a fɔ ko mɔgɔ bɛ taa a minɛ, ka syɛdenninminɛ, ka taa n'a ye.","Mais ce qu'on a constaté, c'est qu'il y a des gens qui font des enlèvement, qui t'enlèvent comme un poussin et t'emmènent."
